model,MAE,RMSE,R2
Ridge,0.6248682978329608,1.280251123814975,0.8894672443247549
Linear,0.6289666961402538,1.2812433415264726,0.8892696812771943
RandomForest,1.63339009323688,2.466822178508019,0.5452370553067476
Dummy_Mean,2.995771088424024,3.944956491352228,-0.020997590835432643
